! SURFACE FORMAT
-7.500000e+02 0.000000e+00 -7.500000e+02 0.000000e+00 10
-2.500000e+02 0.000000e+00 -2.500000e+02 0.000000e+00 9
-5.000000e+01 0.000000e+00 5.000000e+01 0.000000e+00 4.974111e-01 2.487056e-02
5.000000e+01 0.000000e+00 1.500000e+02 0.000000e+00 1.879428e-01 9.397141e-03
1.500000e+02 0.000000e+00 2.500000e+02 0.000000e+00 8.697761e-02 4.348880e-03
2.500000e+02 0.000000e+00 3.500000e+02 0.000000e+00 4.567315e-02 2.283657e-03
3.500000e+02 0.000000e+00 4.500000e+02 0.000000e+00 2.987174e-02 1.493587e-03
4.500000e+02 0.000000e+00 5.500000e+02 0.000000e+00 1.961700e-02 9.808501e-04
5.500000e+02 0.000000e+00 6.500000e+02 0.000000e+00 1.611850e-02 8.059248e-04
6.500000e+02 0.000000e+00 7.500000e+02 0.000000e+00 1.259568e-02 6.297838e-04
7.500000e+02 0.000000e+00 8.500000e+02 0.000000e+00 9.862313e-03 4.931156e-04

-1.500000e+02 0.000000e+00 -1.500000e+02 0.000000e+00 8
5.000000e+01 0.000000e+00 1.500000e+02 0.000000e+00 4.515175e-01 2.257587e-02
1.500000e+02 0.000000e+00 2.500000e+02 0.000000e+00 1.744141e-01 8.720705e-03
2.500000e+02 0.000000e+00 3.500000e+02 0.000000e+00 8.627938e-02 4.313969e-03
3.500000e+02 0.000000e+00 4.500000e+02 0.000000e+00 4.687469e-02 2.343734e-03
4.500000e+02 0.000000e+00 5.500000e+02 0.000000e+00 2.985842e-02 1.492921e-03
5.500000e+02 0.000000e+00 6.500000e+02 0.000000e+00 2.072360e-02 1.036180e-03
6.500000e+02 0.000000e+00 7.500000e+02 0.000000e+00 1.543423e-02 7.717117e-04
7.500000e+02 0.000000e+00 8.500000e+02 0.000000e+00 1.223379e-02 6.116895e-04

-5.000000e+01 0.000000e+00 -5.000000e+01 0.000000e+00 7
1.500000e+02 0.000000e+00 2.500000e+02 0.000000e+00 4.351304e-01 2.175652e-02
2.500000e+02 0.000000e+00 3.500000e+02 0.000000e+00 1.775722e-01 8.878608e-03
3.500000e+02 0.000000e+00 4.500000e+02 0.000000e+00 8.828120e-02 4.414060e-03
4.500000e+02 0.000000e+00 5.500000e+02 0.000000e+00 5.000837e-02 2.500419e-03
5.500000e+02 0.000000e+00 6.500000e+02 0.000000e+00 3.206245e-02 1.603123e-03
6.500000e+02 0.000000e+00 7.500000e+02 0.000000e+00 2.372001e-02 1.186000e-03
7.500000e+02 0.000000e+00 8.500000e+02 0.000000e+00 1.677731e-02 8.388654e-04

5.000000e+01 0.000000e+00 5.000000e+01 0.000000e+00 6
2.500000e+02 0.000000e+00 3.500000e+02 0.000000e+00 4.614816e-01 2.307408e-02
3.500000e+02 0.000000e+00 4.500000e+02 0.000000e+00 1.871474e-01 9.357370e-03
4.500000e+02 0.000000e+00 5.500000e+02 0.000000e+00 9.582684e-02 4.791342e-03
5.500000e+02 0.000000e+00 6.500000e+02 0.000000e+00 5.485598e-02 2.742799e-03
6.500000e+02 0.000000e+00 7.500000e+02 0.000000e+00 3.521232e-02 1.760616e-03
7.500000e+02 0.000000e+00 8.500000e+02 0.000000e+00 2.426119e-02 1.213060e-03

1.500000e+02 0.000000e+00 1.500000e+02 0.000000e+00 5
3.500000e+02 0.000000e+00 4.500000e+02 0.000000e+00 4.722134e-01 2.361067e-02
4.500000e+02 0.000000e+00 5.500000e+02 0.000000e+00 1.976749e-01 9.883745e-03
5.500000e+02 0.000000e+00 6.500000e+02 0.000000e+00 1.020702e-01 5.103510e-03
6.500000e+02 0.000000e+00 7.500000e+02 0.000000e+00 6.216937e-02 3.108469e-03
7.500000e+02 0.000000e+00 8.500000e+02 0.000000e+00 3.888884e-02 1.944442e-03

2.500000e+02 0.000000e+00 2.500000e+02 0.000000e+00 4
4.500000e+02 0.000000e+00 5.500000e+02 0.000000e+00 4.946980e-01 2.473490e-02
5.500000e+02 0.000000e+00 6.500000e+02 0.000000e+00 2.124074e-01 1.062037e-02
6.500000e+02 0.000000e+00 7.500000e+02 0.000000e+00 1.136247e-01 5.681237e-03
7.500000e+02 0.000000e+00 8.500000e+02 0.000000e+00 6.493381e-02 3.246691e-03

3.500000e+02 0.000000e+00 3.500000e+02 0.000000e+00 3
5.500000e+02 0.000000e+00 6.500000e+02 0.000000e+00 4.945467e-01 2.472734e-02
6.500000e+02 0.000000e+00 7.500000e+02 0.000000e+00 2.097156e-01 1.048578e-02
7.500000e+02 0.000000e+00 8.500000e+02 0.000000e+00 1.134150e-01 5.670749e-03

4.500000e+02 0.000000e+00 4.500000e+02 0.000000e+00 2
6.500000e+02 0.000000e+00 7.500000e+02 0.000000e+00 5.086115e-01 2.543057e-02
7.500000e+02 0.000000e+00 8.500000e+02 0.000000e+00 2.194227e-01 1.097113e-02

5.500000e+02 0.000000e+00 5.500000e+02 0.000000e+00 1
7.500000e+02 0.000000e+00 8.500000e+02 0.000000e+00 5.104329e-01 2.552164e-02

